<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2017.01.02	116.780	117.651	116.634	117.478	43827	37425258000	0
2017.01.03	117.461	118.602	117.210	117.731	173432	147091435000	0
2017.01.04	117.720	118.182	117.047	117.214	172525	141471272000	0
2017.01.05	117.215	117.425	115.213	115.339	222906	153808965000	0
2017.01.06	115.328	117.175	115.065	116.942	190299	135880459000	0
2017.01.09	116.993	117.528	115.949	116.005	157851	117525648000	0
2017.01.10	115.999	116.340	115.192	115.759	188619	135899268000	0
2017.01.11	115.743	116.870	114.239	115.399	218378	157508934000	0
2017.01.12	115.401	115.502	113.750	114.703	229931	162459681000	0
2017.01.13	114.674	115.440	114.154	114.338	184292	121693602000	0
2017.01.16	114.221	114.462	113.617	114.174	131932	87764749000	0
2017.01.17	114.174	114.279	112.591	112.609	217208	149813222000	0
2017.01.18	112.611	114.754	112.566	114.631	183822	142874763000	0
2017.01.19	114.630	115.616	114.397	114.842	210633	185612200000	0
2017.01.20	114.838	115.382	114.206	114.464	210636	195571582000	0
2017.01.23	114.313	114.414	112.680	112.686	212531	203488484000	9
2017.01.24	112.679	113.891	112.519	113.789	194258	186270718000	0
2017.01.25	113.747	113.985	113.033	113.258	187262	183563508000	0
2017.01.26	113.233	114.853	113.044	114.505	187443	178477571000	0
2017.01.27	114.508	115.372	114.386	115.028	169915	168413093000	0
2017.01.30	114.761	114.946	113.442	113.750	177602	183487655000	9
2017.01.31	113.733	113.961	112.076	112.784	212783	211885313000	0
2017.02.01	112.771	113.948	112.636	113.224	189274	195488872000	0
2017.02.02	113.230	113.360	112.048	112.783	186472	190595963000	0
2017.02.03	112.782	113.470	112.311	112.443	170913	170401464000	0
2017.02.06	112.384	112.772	111.618	111.726	166664	171916035000	0
2017.02.07	111.708	112.573	111.588	112.375	162301	170480646000	9
2017.02.08	112.354	112.540	111.627	111.924	163598	164408895000	9
2017.02.09	111.921	113.342	111.731	113.247	147751	148619057000	0
2017.02.10	113.236	113.854	112.853	113.065	157944	156988159000	9
2017.02.13	113.513	114.164	113.435	113.724	139124	144600288000	0
2017.02.14	113.721	114.495	113.245	114.238	159385	160937969000	0
2017.02.15	114.218	114.953	113.859	114.140	147762	149348146000	9
2017.02.16	114.144	114.305	113.081	113.214	152739	156571127000	9
2017.02.17	113.240	113.497	112.614	112.697	143385	146964204000	0
2017.02.20	112.886	113.234	112.786	113.068	104552	109051633000	0
2017.02.21	113.077	113.773	113.011	113.669	133019	130847181000	0
2017.02.22	113.654	113.726	112.904	113.315	152617	147299850000	0
2017.02.23	113.302	113.451	112.547	112.601	137760	126868787000	9
2017.02.24	112.569	112.952	111.931	112.006	135048	127726015000	0
2017.02.27	112.120	112.837	111.913	112.683	137377	128234402000	0
2017.02.28	112.678	112.895	111.685	112.752	148990	137745602000	0
2017.03.01	112.733	114.044	112.714	113.712	178852	154456370000	0
2017.03.02	113.696	114.588	113.678	114.409	139181	130858038000	9
2017.03.03	114.406	114.745	113.807	113.886	152282	150730961000	0
2017.03.06	113.879	114.132	113.555	113.881	122691	123955936000	0
2017.03.07	113.848	114.152	113.726	113.968	114234	114906885000	0
2017.03.08	113.935	114.755	113.604	114.317	142339	141977282000	0
2017.03.09	114.312	114.997	114.297	114.932	166349	165523002000	9
2017.03.10	114.933	115.500	114.650	114.717	168182	161818153000	0
2017.03.13	114.764	114.915	114.478	114.843	137403	135544877000	0
2017.03.14	114.844	115.191	114.515	114.730	130401	126456489000	9
2017.03.15	114.729	114.881	113.169	113.457	145221	140202524000	0
2017.03.16	113.459	113.544	112.900	113.294	159023	156984113000	0
2017.03.17	113.294	113.488	112.560	112.702	122753	122543712000	9
2017.03.20	112.639	112.894	112.453	112.495	102515	101892296000	9
2017.03.21	112.498	112.865	111.540	111.776	163067	158992467000	0
2017.03.22	111.775	111.788	110.728	111.260	185569	178016126000	9
2017.03.23	111.260	111.576	110.625	110.973	177580	173535924000	9
2017.03.24	110.971	111.478	110.623	111.217	163056	157572084000	0
2017.03.27	110.919	111.043	110.106	110.652	160264	157716045000	0
2017.03.28	110.633	111.198	110.174	111.129	143425	142551980000	9
2017.03.29	111.133	111.313	110.712	111.032	142946	137959487000	0
2017.03.30	111.006	111.942	110.938	111.899	144205	138954407000	9
2017.03.31	111.890	112.193	111.239	111.264	145476	139303324000	9
2017.04.03	111.355	111.584	110.852	110.884	131218	131034671000	9
2017.04.04	110.880	110.928	110.265	110.724	148430	141623367000	0
2017.04.05	110.709	111.451	110.534	110.693	149930	146208642000	0
2017.04.06	110.682	111.138	110.286	110.794	150550	146210573000	0
2017.04.07	110.779	111.362	110.126	110.971	181929	169111931000	9
2017.04.10	111.016	111.576	110.802	110.929	120543	122221493000	0
2017.04.11	110.928	110.928	109.590	109.602	141890	144578385000	9
2017.04.12	109.610	109.863	108.955	109.009	153509	156064715000	0
2017.04.13	108.999	109.389	108.720	109.085	150055	150250559000	9
2017.04.14	109.096	109.219	108.542	108.542	82306	61760349000	9
2017.04.17	108.738	109.050	108.129	108.896	106322	107652562000	0
2017.04.18	108.901	109.217	108.317	108.401	144287	145601451000	9
2017.04.19	108.401	109.178	108.377	108.854	132875	138209639000	0
2017.04.20	108.839	109.484	108.716	109.312	127150	126569599000	9
2017.04.21	109.312	109.419	108.878	108.979	119409	119528956000	9
2017.04.24	110.489	110.501	109.655	109.744	148059	141198885000	0
2017.04.25	109.740	111.185	109.590	111.082	129214	131570976000	0
2017.04.26	111.058	111.774	110.869	111.050	157616	155828691000	9
2017.04.27	111.040	111.596	110.990	111.244	138001	135699854000	0
2017.04.28	111.235	111.713	111.068	111.528	125346	121792098000	9
2017.05.01	111.207	111.923	111.202	111.835	92217	93966228000	0
2017.05.02	111.810	112.301	111.778	111.996	113166	113464938000	0
2017.05.03	111.965	112.772	111.957	112.751	104394	105191990000	0
2017.05.04	112.728	113.044	112.314	112.457	121244	128374958000	0
2017.05.05	112.452	112.796	112.085	112.598	120806	122381547000	0
2017.05.08	112.938	113.291	112.393	113.253	121143	122435762000	0
2017.05.09	113.250	114.325	113.129	113.968	116309	120071471000	0
2017.05.10	113.969	114.365	113.623	114.264	123005	128071912000	0
2017.05.11	114.264	114.365	113.453	113.851	115258	120255488000	0
2017.05.12	113.851	113.949	113.196	113.323	111329	113884742000	0
2017.05.15	113.161	113.852	113.161	113.773	101814	103991543000	0
2017.05.16	113.775	113.787	112.928	113.111	111068	111757015000	0
2017.05.17	113.111	113.123	110.789	110.801	168868	171065769000	0
2017.05.18	110.801	111.740	110.231	111.475	212246	210140759000	0
2017.05.19	111.470	111.697	111.041	111.228	146607	150361358000	0
2017.05.22	111.022	111.603	110.875	111.295	117105	122119130000	0
2017.05.23	111.295	111.855	110.855	111.765	141430	143295308000	0
2017.05.24	111.763	112.125	111.475	111.491	134716	133357980000	0
2017.05.25	111.491	111.948	111.480	111.832	111329	115994473000	0
2017.05.26	111.832	111.844	110.875	111.253	116341	120573756000	0
2017.05.29	111.210	111.465	111.165	111.244	80686	82405689000	0
2017.05.30	111.244	111.310	110.661	110.829	110738	115209525000	0
2017.05.31	110.829	111.223	110.477	110.777	120676	121990034000	0
2017.06.01	110.777	111.478	110.673	111.351	115109	116921470000	0
2017.06.02	111.353	111.706	110.326	110.351	120781	115926357000	0
2017.06.05	110.343	110.728	110.226	110.474	72450	0	9
2017.06.06	110.442	110.523	109.223	109.408	109523	0	9
2017.06.07	109.408	109.879	109.111	109.815	97932	0	9
2017.06.08	109.815	110.381	109.378	110.037	108487	0	9
2017.06.09	109.811	110.808	109.720	110.304	115482	0	9
2017.06.12	110.284	110.436	109.629	109.938	88919	0	9
2017.06.13	109.921	110.267	109.819	110.058	78742	0	9
2017.06.14	110.035	110.339	108.805	109.568	119756	0	9
2017.06.15	109.553	110.976	109.265	110.943	115778	0	9
2017.06.16	110.895	111.414	110.642	110.824	102183	0	9
2017.06.19	110.842	111.597	110.719	111.521	81660	0	9
2017.06.20	111.521	111.783	111.305	111.441	92071	0	9
2017.06.21	111.435	111.736	111.065	111.365	95426	0	9
2017.06.22	111.365	111.444	110.946	111.312	89536	0	9
2017.06.23	111.303	111.427	111.150	111.226	76947	0	9
2017.06.26	111.118	111.941	111.118	111.856	79484	0	9
2017.06.27	111.821	112.462	111.459	112.352	108154	0	9
2017.06.28	112.324	112.411	111.826	112.323	119825	0	9
2017.06.29	112.261	112.922	111.807	112.166	128751	0	9
2017.06.30	112.166	112.599	111.725	112.361	114760	0	9
2017.07.03	112.112	113.467	112.112	113.439	92863	0	9
2017.07.04	113.341	113.439	112.735	113.273	108776	0	9
2017.07.05	113.254	113.682	112.820	113.237	104733	0	9
2017.07.06	113.240	113.466	112.882	113.186	108447	0	9
2017.07.07	113.170	114.175	113.100	113.859	110400	0	9
2017.07.10	113.909	114.298	113.837	114.027	84404	0	9
2017.07.11	114.014	114.490	113.713	113.923	100064	0	9
2017.07.12	113.923	113.971	112.923	113.123	117910	0	9
2017.07.13	113.143	113.521	112.857	113.263	111283	0	9
2017.07.14	113.262	113.575	112.256	112.528	98355	0	9
2017.07.17	112.461	112.863	112.324	112.615	88395	0	9
2017.07.18	112.603	112.686	111.682	112.030	123435	0	9
2017.07.19	112.030	112.230	111.550	111.873	99438	0	9
2017.07.20	111.909	112.413	111.475	111.872	133618	0	9
2017.07.21	111.895	112.074	111.008	111.122	110356	0	9
2017.07.24	111.097	111.316	110.618	111.110	104585	0	9
2017.07.25	111.083	111.953	110.825	111.939	115032	0	9
2017.07.26	111.865	112.196	111.056	111.140	120905	0	9
2017.07.27	111.149	111.706	110.776	111.300	164417	0	9
2017.07.28	111.268	111.326	110.544	110.640	152298	0	9
2017.07.31	110.614	110.769	110.210	110.253	123675	0	9
2017.08.01	110.243	110.586	109.915	110.378	146858	0	9
2017.08.02	110.379	110.980	110.278	110.741	138800	0	9
2017.08.03	110.664	110.824	109.851	109.979	136562	0	9
2017.08.04	110.020	111.046	109.840	110.675	121330	0	9
2017.08.07	110.708	110.916	110.642	110.749	99773	0	9
2017.08.08	110.733	110.823	110.244	110.345	93462	0	9
2017.08.09	110.350	110.351	109.555	110.032	122773	0	9
2017.08.10	110.032	110.176	109.148	109.226	123354	0	9
2017.08.11	109.176	109.398	108.724	109.163	137528	0	9
2017.08.14	109.142	109.796	109.032	109.654	120956	0	9
2017.08.15	109.692	110.843	109.602	110.685	130286	0	9
2017.08.16	110.685	110.945	110.026	110.185	121675	0	9
2017.08.17	110.185	110.365	109.442	109.583	154460	0	9
2017.08.18	109.566	109.594	108.600	109.144	166287	0	9
2017.08.21	109.331	109.417	108.632	108.991	120953	0	9
2017.08.22	108.960	109.652	108.871	109.560	91278	0	9
2017.08.23	109.552	109.821	108.916	109.026	100646	0	9
2017.08.24	109.022	109.601	108.844	109.563	110441	0	9
2017.08.25	109.563	109.840	109.109	109.348	116124	0	9
2017.08.28	109.199	109.409	109.020	109.255	86854	0	9
2017.08.29	109.230	109.896	108.264	109.631	155648	0	9
2017.08.30	109.631	110.434	109.537	110.325	105669	0	9
2017.08.31	110.325	110.667	109.876	109.955	122172	0	9
2017.09.01	109.978	110.440	109.559	110.247	109366	0	9
2017.09.04	109.573	109.930	109.378	109.673	89040	0	9
2017.09.05	109.673	109.830	108.627	108.764	125224	0	9
2017.09.06	108.695	109.392	108.446	109.271	117633	0	9
2017.09.07	109.271	109.271	108.044	108.529	126162	0	9
2017.09.08	108.443	108.529	107.314	107.834	138031	0	9
2017.09.11	108.139	109.496	108.134	109.486	106439	0	9
2017.09.12	109.377	110.252	109.235	110.161	106661	1867893000	0
2017.09.13	110.168	110.691	109.903	110.475	97995	0	0
2017.09.14	110.475	111.038	110.065	110.235	108756	0	0
2017.09.15	110.235	111.334	109.550	110.837	129725	0	0
2017.09.18	111.045	111.663	110.994	111.564	95764	0	0
2017.09.19	111.564	111.881	111.201	111.588	123452	0	0
2017.09.20	111.588	112.530	111.103	112.212	116752	0	0
2017.09.21	112.212	112.717	112.134	112.457	120329	0	0
2017.09.22	112.457	112.555	111.652	111.963	114239	0	0
2017.09.25	112.218	112.528	111.472	111.728	131079	0	0
2017.09.26	111.728	112.476	111.498	112.218	122301	0	0
2017.09.27	112.218	113.256	112.213	112.825	142429	0	0
2017.09.28	112.825	113.209	112.251	112.338	125905	0	0
2017.09.29	112.338	112.736	112.214	112.445	99821	0	0
2017.10.02	112.505	113.059	112.449	112.752	95802	0	0
2017.10.03	112.752	113.195	112.639	112.845	98065	0	0
2017.10.04	112.845	112.938	112.322	112.751	100493	0	0
2017.10.05	112.751	112.920	112.413	112.810	91912	0	0
2017.10.06	112.810	113.439	112.599	112.599	102538	0	0
2017.10.09	112.555	112.745	112.328	112.689	65271	0	0
2017.10.10	112.689	112.827	111.988	112.436	98499	0	0
2017.10.11	112.437	112.585	112.080	112.483	90707	0	0
2017.10.12	112.477	112.521	112.125	112.272	84664	0	0
2017.10.13	112.273	112.304	111.686	111.799	95368	0	0
2017.10.16	111.782	112.287	111.653	112.186	74036	0	0
2017.10.17	112.186	112.479	112.035	112.196	87638	0	0
2017.10.18	112.196	113.049	112.133	112.927	88280	0	0
2017.10.19	112.927	113.146	112.296	112.534	112393	0	0
2017.10.20	112.535	113.568	112.512	113.495	110674	0	0
